,category,id,question,type,flat list,test
3855,resource,dbpedia_21210,"What is the hometown of Nader Guirat, where Josef Johansson was born too?","['dbo:Country', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
3856,resource,dbpedia_3762,What is the death place of Lavrentiy Beria and is the twin town of Tehran?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
3860,resource,dbpedia_17811,WHAT IS THE CROSSES FOR TOWER BRIDGE,"['dbo:River', 'dbo:Stream', 'dbo:BodyOfWater', 'dbo:NaturalPlace', 'dbo:Place', 'dbo:Location']","['dbo:River' 'dbo:Stream' 'dbo:BodyOfWater' 'dbo:NaturalPlace' 'dbo:Place'
 'dbo:Location']",True
3869,resource,dbpedia_12302,In what country is Stanford University's Stanford headquarters?,"['dbo:Country', 'dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
3872,resource,dbpedia_18021,Which city's foundeer is John Forbes?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
3887,resource,dbpedia_23516,In which city does the Chile Route 68 end?,"['dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
3893,resource,dbpedia_10594,Who is patron saint of Holy Spirit?,"['dbo:Church', 'dbo:ReligiousBuilding', 'dbo:Building', 'dbo:ArchitecturalStructure', 'dbo:Place', 'dbo:Location']","['dbo:Church' 'dbo:ReligiousBuilding' 'dbo:Building'
 'dbo:ArchitecturalStructure' 'dbo:Place' 'dbo:Location']",True
3894,resource,dbpedia_2958,What are diplomatic relations like between Belgium and the Netherlands?,"['dbo:Country', 'dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
3898,resource,dbpedia_2450,Which outer planet has the most flattening?,"['dbo:Planet', 'dbo:CelestialBody', 'dbo:Place', 'dbo:Location']",['dbo:Planet' 'dbo:CelestialBody' 'dbo:Place' 'dbo:Location'],True
3905,resource,dbpedia_2754,What connects Okinawa Island and Sesoko Island?,"['dbo:Bridge', 'dbo:RouteOfTransportation', 'dbo:Infrastructure', 'dbo:ArchitecturalStructure', 'dbo:Place', 'dbo:Location']","['dbo:Bridge' 'dbo:RouteOfTransportation' 'dbo:Infrastructure'
 'dbo:ArchitecturalStructure' 'dbo:Place' 'dbo:Location']",True
3908,resource,dbpedia_18659,What is the county seat of the district through which the Beckler River flows?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
3910,resource,dbpedia_16375,Which is {notation} and the {child astronomical body} of {Sun} ?,"['dbo:Asteroid', 'dbo:CelestialBody', 'dbo:Place', 'dbo:Location']",['dbo:Asteroid' 'dbo:CelestialBody' 'dbo:Place' 'dbo:Location'],True
3927,resource,dbpedia_11166,Which administrative divisions of Madagascar is next to Antananarivo Province?,"['dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
3936,resource,dbpedia_10926,"From what country did Atlas Shrugged originate, and in what language was the work written?","['dbo:Country', 'dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
3947,resource,dbpedia_20682,Where can i find salad based food?,"['dbo:Country', 'dbo:Continent', 'dbo:Island', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:Country' 'dbo:Continent' 'dbo:Island' 'dbo:PopulatedPlace'
 'dbo:Place' 'dbo:Location']",True
3965,resource,dbpedia_23327,In which U.S. state is Fort Knox located?,"['dbo:AdministrativeRegion', 'dbo:Region', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:AdministrativeRegion' 'dbo:Region' 'dbo:Settlement'
 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location']",True
3969,resource,dbpedia_3174,What is Anatoly Karpov's work location where official language if Russian?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
3973,resource,dbpedia_12526,Which sovereign state is in diplomatic relation of Empire of Japan?,"['dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
3982,resource,dbpedia_22382,Who designed the bridge in Oddamavadi?,"['dbo:Country', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
4006,resource,dbpedia_2163,"What is the sister city of Antwerp, that has cities in Minhang District?","['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
4017,resource,dbpedia_22452,"Name the river with source country in Zambia and source region as North-Western Province, Zambia?","['dbo:River', 'dbo:Stream', 'dbo:BodyOfWater', 'dbo:NaturalPlace', 'dbo:Place', 'dbo:Location']","['dbo:River' 'dbo:Stream' 'dbo:BodyOfWater' 'dbo:NaturalPlace' 'dbo:Place'
 'dbo:Location']",True
4020,resource,dbpedia_17875,Where was Voyager 1 travelling?,"['dbo:Planet', 'dbo:CelestialBody', 'dbo:Place', 'dbo:Location']",['dbo:Planet' 'dbo:CelestialBody' 'dbo:Place' 'dbo:Location'],True
4024,resource,dbpedia_2955,What is the street address of the territorial administrative entity of the Arc de Triomphe?,"['dbo:Square', 'dbo:ArchitecturalStructure', 'dbo:Place', 'dbo:Location']",['dbo:Square' 'dbo:ArchitecturalStructure' 'dbo:Place' 'dbo:Location'],True
4032,resource,dbpedia_18079,Which title of Zaman Shah Durrani is also the nationality of Salahuddin ?,"['dbo:Country', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
4035,resource,dbpedia_10230,What what is triumphal arch heritage designationed by MHC and also which starts with letter p,"['dbo:Monument', 'dbo:ArchitecturalStructure', 'dbo:Place', 'dbo:Location']",['dbo:Monument' 'dbo:ArchitecturalStructure' 'dbo:Place' 'dbo:Location'],True
4049,resource,dbpedia_22436,In which city can I find both the office of Elasticsearch and the Yellow Claw DJ?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
4056,resource,dbpedia_773,What is the Sister City of the final resting place of Hafsa bint Umar?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
4059,resource,dbpedia_13622,Which is the {twinned administrative body} and the {contains administrative territorial entity} of {Lisbon} ?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
4061,resource,dbpedia_21466,"Which river starts from the county seat of Heathsville, Virginia?","['dbo:River', 'dbo:Stream', 'dbo:BodyOfWater', 'dbo:NaturalPlace', 'dbo:Place', 'dbo:Location']","['dbo:River' 'dbo:Stream' 'dbo:BodyOfWater' 'dbo:NaturalPlace' 'dbo:Place'
 'dbo:Location']",True
4065,resource,dbpedia_9703,"Name the twin town of Asunción, whose prime minister is Luis Banck Serrato ?","['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
4073,resource,dbpedia_4524,Tell me civilization whose name has the word vandals in it.,"['dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
4088,resource,dbpedia_22380,Food in which countries has shallot in it?,"['dbo:Country', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
4102,resource,dbpedia_8244,Which is the sovereign state for the currency pound sterling?,"['dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
4105,resource,dbpedia_4274,which work place split from Pierre Puvis de Chavannes?,"['dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
4107,resource,dbpedia_4977,Which island uses the language Norwegian?,"['dbo:Island', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Island' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
4123,resource,dbpedia_13627,What is the city neighboring Giovanni Battista Guadagnini's deathplace.,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
4128,resource,dbpedia_15679,who state of austria for twinned administrative body of bern?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
4140,resource,dbpedia_22265,Which administrative headquarters of the Pulau Ubin is also the resting place of the Nicole Lai,"['dbo:Country', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
4141,resource,dbpedia_5382,What are the social skills which start with the letter w,"['dbo:Skyscraper', 'dbo:Building', 'dbo:ArchitecturalStructure', 'dbo:Place', 'dbo:Location']","['dbo:Skyscraper' 'dbo:Building' 'dbo:ArchitecturalStructure' 'dbo:Place'
 'dbo:Location']",True
4147,resource,dbpedia_7966,Is the ward of Thường Tín located next to a body of water?,"['dbo:River', 'dbo:Stream', 'dbo:BodyOfWater', 'dbo:NaturalPlace', 'dbo:Place', 'dbo:Location']","['dbo:River' 'dbo:Stream' 'dbo:BodyOfWater' 'dbo:NaturalPlace' 'dbo:Place'
 'dbo:Location']",True
4170,resource,dbpedia_7203,What is the tributary of the extreme point deepest of Papua New Guinea?,"['dbo:River', 'dbo:Stream', 'dbo:BodyOfWater', 'dbo:NaturalPlace', 'dbo:Place', 'dbo:Location']","['dbo:River' 'dbo:Stream' 'dbo:BodyOfWater' 'dbo:NaturalPlace' 'dbo:Place'
 'dbo:Location']",True
4173,resource,dbpedia_17823,What is the two-part administrative body of Milwaukee known as and where is the location of it's administrative territory.,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
4189,resource,dbpedia_8231,Which is the operating area for Democracy Now! ?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
4197,resource,dbpedia_21949,Which broadcast area of Mauritius Broadcasting Corporation is also the nationality of Michael Medor ?,"['dbo:Country', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
4204,resource,dbpedia_9103,who place of filming of described by work of david levinson} ?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
4205,resource,dbpedia_21097,"What is the hub airport of Pawan Hans, and is also the largest city of India?","['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
4210,resource,dbpedia_21512,"Who is the founder of Wuropean School, Karlsruhe ?","['dbo:Country', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
4211,resource,dbpedia_4979,What is on the shore of the Atlantic coastal plain with the Barranco de Tahodio tributary?,"['dbo:Ocean', 'dbo:BodyOfWater', 'dbo:NaturalPlace', 'dbo:Place', 'dbo:Location']","['dbo:Ocean' 'dbo:BodyOfWater' 'dbo:NaturalPlace' 'dbo:Place'
 'dbo:Location']",True
4212,resource,dbpedia_3159,Name a kind of detached home that starts with letter V,"['dbo:Prison', 'dbo:Building', 'dbo:ArchitecturalStructure', 'dbo:Place', 'dbo:Location']","['dbo:Prison' 'dbo:Building' 'dbo:ArchitecturalStructure' 'dbo:Place'
 'dbo:Location']",True
4224,resource,dbpedia_20586,Which country gave birth to the Lemberger LD20b and Start+Flug H101 aircrafts?,"['dbo:Country', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
4226,resource,dbpedia_2695,Where is tributary take place in Polynesia?,"['dbo:River', 'dbo:Stream', 'dbo:BodyOfWater', 'dbo:NaturalPlace', 'dbo:Place', 'dbo:Location']","['dbo:River' 'dbo:Stream' 'dbo:BodyOfWater' 'dbo:NaturalPlace' 'dbo:Place'
 'dbo:Location']",True
4230,resource,dbpedia_20826,Where did Marvo originate?,"['dbo:Country', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
4234,resource,dbpedia_3845,"""Who is {chef-lieu} of {Shashanka}, whicg has {chef-lieu of} is {Nawabs of Bengal and Murshidabad} ?""","['dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
4242,resource,dbpedia_5417,"""Who is from Yes, and has a Ocean in the River Thames?""","['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
4254,resource,dbpedia_18993,What is the location town of Seattle Great Wheel ?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
4258,resource,dbpedia_5972,"What place is bordered by the kingdom of Castile, whose official language is Spanish?","['dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
4262,resource,dbpedia_22702,Which rivers start from the Provinces of Zambia?,"['dbo:River', 'dbo:Stream', 'dbo:BodyOfWater', 'dbo:NaturalPlace', 'dbo:Place', 'dbo:Location']","['dbo:River' 'dbo:Stream' 'dbo:BodyOfWater' 'dbo:NaturalPlace' 'dbo:Place'
 'dbo:Location']",True
4273,resource,dbpedia_7511,What is the sovereign state of Citizenship country of Vladimir Lenin,"['dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
4302,resource,dbpedia_14403,"Where was the sculpture ""Sunflowers"" created?","['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
4311,resource,dbpedia_2490,Sergei Prokudein-Gorskii died in what county within the 7th arrondissement of Paris?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
4313,resource,dbpedia_16164,which is the {country} for {Hrant Dink} that has {place of death} as {Istanbul} ?,"['dbo:Country', 'dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
4319,resource,dbpedia_19235,Which terrotory of Tonkin campaign also the death bed of Thophane Vnard ?,"['dbo:Country', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
4345,resource,dbpedia_14122,Which is the port city located in Aung San Suu Kyi.,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
4359,resource,dbpedia_15828,What is the child body of the star of Sagittarius Dwarf Elliptical Galaxy?,"['dbo:Galaxy', 'dbo:CelestialBody', 'dbo:Place', 'dbo:Location']",['dbo:Galaxy' 'dbo:CelestialBody' 'dbo:Place' 'dbo:Location'],True
4361,resource,dbpedia_20723,From which country is Lawrence Okoye's nationality ?,"['dbo:Country', 'dbo:Island', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:Island' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
4369,resource,dbpedia_6885,What is the sovereign state of Oslo,"['dbo:Country', 'dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
4374,resource,dbpedia_22535,name the region served by Jerusalem Institue of Justice which was also the conflict region in GazaIsrael ?,"['dbo:Country', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
4390,resource,dbpedia_16280,What city in Mumbai houses millions of people?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
4398,resource,dbpedia_22878,"What is the river whose source region is North-Western Province, Zambia and river mouth is Indian Ocean?","['dbo:River', 'dbo:Stream', 'dbo:BodyOfWater', 'dbo:NaturalPlace', 'dbo:Place', 'dbo:Location']","['dbo:River' 'dbo:Stream' 'dbo:BodyOfWater' 'dbo:NaturalPlace' 'dbo:Place'
 'dbo:Location']",True
4401,resource,dbpedia_18257,Where is the stadium of Philadelphia Rage ?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
4404,resource,dbpedia_23458,What is the largest city in Australia?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
4405,resource,dbpedia_9220,What is in the district of Nord-Pas-de-Calais whose member is International Hydrographic Organization?,"['dbo:Country', 'dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
4419,resource,dbpedia_9857,Which is the country that is replaced by the Thirteen Colonies?,"['dbo:Country', 'dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
4429,resource,dbpedia_7692,What country for Pius IX has the birth place of Senigallia?,"['dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
4436,resource,dbpedia_6103,Where in the Province of Milan was the county seat Claudio Abbado born?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
4453,resource,dbpedia_18710,Which citys mayor is anne hidalgo?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
4456,resource,dbpedia_11377,What is the place made Airbus A300 whose Indian reservation is canton of Toulouse-2?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
4471,resource,dbpedia_22272,Where did the beverages sold by Refriango originate?,"['dbo:Country', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
4474,resource,dbpedia_10749,Which is the twin city of London?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
4478,resource,dbpedia_15491,Which county seat of New York City has got diplomatic relation with Georgia?,"['dbo:Country', 'dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
4481,resource,dbpedia_21169,Where was the current champion of Egyptian Open born ?,"['dbo:Country', 'dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:Country' 'dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
4491,resource,dbpedia_1111,Name a former municipality of the Netherlands that shares a border with Rotterdam,"['dbo:Village', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:Village' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
4493,resource,dbpedia_7653,What subtopic of Moscow's history contains the division called the Khoroshyovsky District?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
4496,resource,dbpedia_1637,Which fork of the Nile has its orgins in Lake Tana?,"['dbo:River', 'dbo:Stream', 'dbo:BodyOfWater', 'dbo:NaturalPlace', 'dbo:Place', 'dbo:Location']","['dbo:River' 'dbo:Stream' 'dbo:BodyOfWater' 'dbo:NaturalPlace' 'dbo:Place'
 'dbo:Location']",True
4520,resource,dbpedia_13955,What is the head office location of NTV whose partner town is Brussels?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
4521,resource,dbpedia_10285,Who gave the  {tributary} of {on coast of} of {Cape of Good Hope} ?,"['dbo:River', 'dbo:Stream', 'dbo:BodyOfWater', 'dbo:NaturalPlace', 'dbo:Place', 'dbo:Location']","['dbo:River' 'dbo:Stream' 'dbo:BodyOfWater' 'dbo:NaturalPlace' 'dbo:Place'
 'dbo:Location']",True
4522,resource,dbpedia_13307,What administrative unit of Visayas has a king named José  P. Laurel?,"['dbo:Country', 'dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
4530,resource,dbpedia_6389,What is the HQ location of the Hermitage Museum whose twin town is Krakow?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
4531,resource,dbpedia_22453,what is the headquarters of Juan Dalmau Ramerez?,"['dbo:Country', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:Country' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
4535,resource,dbpedia_7712,What is that has of,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
4539,resource,dbpedia_20361,What is the nationality of the David King-Wood and John Steed ?,"['dbo:Country', 'dbo:Island', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:Island' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
4541,resource,dbpedia_20667,What is the home town of the Rolando Gomez is the DOD of the Clyde McNeal ?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
4555,resource,dbpedia_20176,What is the nationality of the successor of Nii Okaidja Adamafio ?,"['dbo:Country', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
4560,resource,dbpedia_12327,Which is the city that is capital of Austrian Empire?,"['dbo:City', 'dbo:Settlement', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:City' 'dbo:Settlement' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
4565,resource,dbpedia_393,whos is owner of the kiss that have members of is g20,"['dbo:Country', 'dbo:State', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']",['dbo:Country' 'dbo:State' 'dbo:PopulatedPlace' 'dbo:Place' 'dbo:Location'],True
4575,resource,dbpedia_20062,What is the death place of the Abiye Abebe and is the birthplace of the Amsale Aberra?,"['dbo:Settlement', 'dbo:Country', 'dbo:PopulatedPlace', 'dbo:Place', 'dbo:Location']","['dbo:Settlement' 'dbo:Country' 'dbo:PopulatedPlace' 'dbo:Place'
 'dbo:Location']",True
